"DataCode","Rectype","RecYear","Date","Watershed","Transect","TrapStation","Species","SpecimenNo1","SpecimenNo2","VoucherNo","RecaptureStatus","Disposition","TotalLength","TailLength","HFLength","EarLength","Weight","Sex","Age","ReprodCondition","Comments"
"csm08",1,2016,"7/27/2016","R1A","N","18","MIOC","",NA,"NK269805","N","V",149,39,16,"20","49.7","F","A","CEN",""
"csm08",1,2016,"7/29/2016","R1A","N","18","MIOC","",NA,"NK269850","N","V",119,29,13,"20","21.8","F","JUV","CSN",""
"csm08",1,2016,"7/28/2016","R1A","N","19","MIOC","",NA,"NK269828","N","V",160,41,14,"20","43.3","F","A","OSN",""
"csm08",1,2016,"7/29/2016","R1A","N","19","MIOC","",NA,"NK269851","N","V",164,44,14,"21","42","M","A","S",""
"csm08",1,2016,"7/13/2016","SpB","N","3","MIOC","",NA,"NK269698","N","V",141,27,16,"19","31.2","M","A","S",""
"csm08",1,2016,"7/15/2016","SpB","N","3","MIOC","",NA,"NK269762","N","V",99,22,10,"18","10.8","M","JUV","NS",""
"csm08",1,2016,"7/15/2016","SpB","N","3","MIOC","",NA,"NK269765","N","V",150,34,14,"20","34.5","F","A","CEN",""
"csm08",1,2016,"7/13/2016","SpB","N","6","MIOC","",NA,"NK269700","N","V",146,32,15,"17","34.7","F","A","CSN",""
"csm08",1,2016,"7/14/2016","SpB","N","9","MIOC","",NA,"NK269732","N","V",155,36,16,"20","37.4","M","A","NS",""
"csm08",1,2016,"7/15/2016","SpB","N","10","MIOC","",NA,"NK269764","N","V",147,40,12,"20","31.1","M","A","S",""
"csm08",1,2016,"7/14/2016","SpB","N","17","MIOC","",NA,"NK269735","N","V",148,36,16,"18","36.2","M","A","S",""
"csm08",1,2016,"7/13/2016","SpB","N","19","MIOC","",NA,"NK269704","N","V",140,29,13,"20","35.5","F","A","OSN",""
"csm08",1,2016,"7/22/2016","SuB","E","1","MIOC","204",NA,"","N","R",NA,35,19,"","41","M","A","NS",""
"csm08",1,2016,"7/22/2016","SuB","E","1","MIOC","218",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/23/2016","SuB","E","1","MIOC","219",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/20/2016","SuB","E","3","MIOC","218",NA,"","N","R",NA,33,20,"","47","F","A","OEN",""
"csm08",1,2016,"7/21/2016","SuB","E","3","MIOC","218",NA,"","Y","R",NA,NA,NA,"","","","","",""
